Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,20,4,Some Random Commen with Id 0
1,0,7,178,2,Some Random Commen with Id 1
2,0,7,100,8,Some Random Commen with Id 2
3,0,7,82,6,Some Random Commen with Id 3
4,0,7,77,9,Some Random Commen with Id 4
5,0,7,175,2,Some Random Commen with Id 5
6,0,7,166,2,Some Random Commen with Id 6
7,0,7,177,1,Some Random Commen with Id 7
8,0,7,185,4,Some Random Commen with Id 8
9,1,1,77,5,Some Random Commen with Id 9
10,1,1,73,6,Some Random Commen with Id 10
11,1,1,57,9,Some Random Commen with Id 11
12,2,5,34,2,Some Random Commen with Id 12
13,2,5,183,8,Some Random Commen with Id 13
14,2,5,141,3,Some Random Commen with Id 14
15,3,0,136,2,Some Random Commen with Id 15
16,3,0,135,6,Some Random Commen with Id 16
17,3,0,186,4,Some Random Commen with Id 17
18,4,9,131,7,Some Random Commen with Id 18
19,4,9,163,9,Some Random Commen with Id 19
20,4,9,102,1,Some Random Commen with Id 20
21,6,6,105,5,Some Random Commen with Id 21
22,6,6,170,8,Some Random Commen with Id 22
23,6,6,14,0,Some Random Commen with Id 23
24,6,6,130,6,Some Random Commen with Id 24
25,6,6,184,5,Some Random Commen with Id 25
26,7,3,28,7,Some Random Commen with Id 26
27,7,3,89,1,Some Random Commen with Id 27
28,7,3,123,6,Some Random Commen with Id 28
29,7,3,33,4,Some Random Commen with Id 29
30,8,9,15,6,Some Random Commen with Id 30
31,8,9,180,8,Some Random Commen with Id 31
32,8,9,95,1,Some Random Commen with Id 32
33,8,9,187,0,Some Random Commen with Id 33
34,8,9,153,6,Some Random Commen with Id 34
35,8,9,17,4,Some Random Commen with Id 35
36,8,9,120,7,Some Random Commen with Id 36
37,8,9,23,5,Some Random Commen with Id 37
38,9,0,91,5,Some Random Commen with Id 38
39,9,0,174,6,Some Random Commen with Id 39
40,9,0,59,6,Some Random Commen with Id 40
41,9,0,197,1,Some Random Commen with Id 41
42,9,0,41,9,Some Random Commen with Id 42
43,9,0,62,4,Some Random Commen with Id 43
44,10,6,165,5,Some Random Commen with Id 44
45,10,6,185,0,Some Random Commen with Id 45
46,10,6,142,4,Some Random Commen with Id 46
47,10,6,121,1,Some Random Commen with Id 47
48,10,6,43,0,Some Random Commen with Id 48
49,11,9,38,5,Some Random Commen with Id 49
50,12,0,128,4,Some Random Commen with Id 50
51,12,0,100,2,Some Random Commen with Id 51
52,12,0,23,2,Some Random Commen with Id 52
53,12,0,113,5,Some Random Commen with Id 53
54,12,0,38,1,Some Random Commen with Id 54
55,12,0,135,0,Some Random Commen with Id 55
56,13,8,85,1,Some Random Commen with Id 56
57,13,8,170,2,Some Random Commen with Id 57
58,13,8,134,0,Some Random Commen with Id 58
59,13,8,41,9,Some Random Commen with Id 59
60,13,8,111,6,Some Random Commen with Id 60
61,13,8,165,5,Some Random Commen with Id 61
62,13,8,14,5,Some Random Commen with Id 62
63,13,8,56,2,Some Random Commen with Id 63
64,13,8,126,0,Some Random Commen with Id 64
65,14,0,198,3,Some Random Commen with Id 65
66,14,0,149,5,Some Random Commen with Id 66
67,14,0,57,2,Some Random Commen with Id 67
68,14,0,41,5,Some Random Commen with Id 68
69,14,0,72,9,Some Random Commen with Id 69
70,14,0,116,3,Some Random Commen with Id 70
71,14,0,116,2,Some Random Commen with Id 71
72,14,0,90,5,Some Random Commen with Id 72
73,14,0,56,7,Some Random Commen with Id 73
74,15,1,66,2,Some Random Commen with Id 74
75,15,1,162,4,Some Random Commen with Id 75
76,16,6,66,9,Some Random Commen with Id 76
77,16,6,43,1,Some Random Commen with Id 77
78,16,6,41,9,Some Random Commen with Id 78
79,16,6,31,9,Some Random Commen with Id 79
80,16,6,108,1,Some Random Commen with Id 80
81,16,6,64,7,Some Random Commen with Id 81
82,16,6,145,4,Some Random Commen with Id 82
83,17,6,92,5,Some Random Commen with Id 83
84,17,6,193,4,Some Random Commen with Id 84
85,17,6,1,3,Some Random Commen with Id 85
86,17,6,177,7,Some Random Commen with Id 86
87,17,6,88,3,Some Random Commen with Id 87
88,17,6,86,2,Some Random Commen with Id 88
89,17,6,159,9,Some Random Commen with Id 89
90,18,9,81,6,Some Random Commen with Id 90
91,18,9,58,5,Some Random Commen with Id 91
92,18,9,4,0,Some Random Commen with Id 92
93,19,2,9,0,Some Random Commen with Id 93
94,19,2,97,8,Some Random Commen with Id 94
95,19,2,116,2,Some Random Commen with Id 95
96,20,9,34,0,Some Random Commen with Id 96
97,20,9,155,9,Some Random Commen with Id 97
98,20,9,147,4,Some Random Commen with Id 98
99,20,9,54,1,Some Random Commen with Id 99
100,20,9,93,5,Some Random Commen with Id 100
101,20,9,181,7,Some Random Commen with Id 101
102,20,9,56,4,Some Random Commen with Id 102
103,21,5,80,0,Some Random Commen with Id 103
104,21,5,199,0,Some Random Commen with Id 104
105,21,5,77,4,Some Random Commen with Id 105
106,21,5,19,6,Some Random Commen with Id 106
107,22,8,96,6,Some Random Commen with Id 107
108,22,8,140,5,Some Random Commen with Id 108
109,22,8,5,7,Some Random Commen with Id 109
110,22,8,195,1,Some Random Commen with Id 110
111,22,8,164,7,Some Random Commen with Id 111
112,22,8,83,3,Some Random Commen with Id 112
113,22,8,60,8,Some Random Commen with Id 113
114,22,8,85,3,Some Random Commen with Id 114
115,23,4,192,7,Some Random Commen with Id 115
116,23,4,20,5,Some Random Commen with Id 116
117,23,4,148,2,Some Random Commen with Id 117
118,24,9,158,3,Some Random Commen with Id 118
119,24,9,86,9,Some Random Commen with Id 119
120,24,9,17,6,Some Random Commen with Id 120
121,24,9,19,3,Some Random Commen with Id 121
122,24,9,6,4,Some Random Commen with Id 122
123,24,9,186,0,Some Random Commen with Id 123
124,25,2,88,3,Some Random Commen with Id 124
125,25,2,102,4,Some Random Commen with Id 125
126,25,2,149,9,Some Random Commen with Id 126
127,25,2,196,9,Some Random Commen with Id 127
128,25,2,115,9,Some Random Commen with Id 128
129,25,2,85,6,Some Random Commen with Id 129
130,25,2,44,7,Some Random Commen with Id 130
131,25,2,103,8,Some Random Commen with Id 131
132,27,4,119,7,Some Random Commen with Id 132
133,27,4,62,6,Some Random Commen with Id 133
134,28,9,142,9,Some Random Commen with Id 134
135,28,9,134,8,Some Random Commen with Id 135
136,28,9,179,9,Some Random Commen with Id 136
137,28,9,60,7,Some Random Commen with Id 137
138,28,9,88,1,Some Random Commen with Id 138
139,28,9,159,3,Some Random Commen with Id 139
140,28,9,39,4,Some Random Commen with Id 140
141,28,9,96,9,Some Random Commen with Id 141
142,28,9,145,6,Some Random Commen with Id 142
143,29,5,23,9,Some Random Commen with Id 143
144,31,7,18,4,Some Random Commen with Id 144
145,31,7,39,8,Some Random Commen with Id 145
146,31,7,127,0,Some Random Commen with Id 146
147,31,7,95,8,Some Random Commen with Id 147
148,32,6,131,0,Some Random Commen with Id 148
149,32,6,4,8,Some Random Commen with Id 149
150,33,8,140,9,Some Random Commen with Id 150
151,34,2,138,3,Some Random Commen with Id 151
152,35,1,28,0,Some Random Commen with Id 152
153,35,1,143,2,Some Random Commen with Id 153
154,35,1,105,8,Some Random Commen with Id 154
155,35,1,198,5,Some Random Commen with Id 155
156,35,1,59,1,Some Random Commen with Id 156
157,35,1,66,5,Some Random Commen with Id 157
158,36,0,135,1,Some Random Commen with Id 158
159,36,0,172,4,Some Random Commen with Id 159
160,36,0,77,0,Some Random Commen with Id 160
161,36,0,91,7,Some Random Commen with Id 161
162,36,0,40,2,Some Random Commen with Id 162
163,36,0,90,4,Some Random Commen with Id 163
164,36,0,45,1,Some Random Commen with Id 164
165,36,0,101,4,Some Random Commen with Id 165
166,37,5,155,1,Some Random Commen with Id 166
167,37,5,124,2,Some Random Commen with Id 167
168,37,5,85,2,Some Random Commen with Id 168
169,38,0,190,9,Some Random Commen with Id 169
170,38,0,18,2,Some Random Commen with Id 170
171,38,0,181,4,Some Random Commen with Id 171
172,38,0,8,3,Some Random Commen with Id 172
173,38,0,69,5,Some Random Commen with Id 173
174,38,0,141,9,Some Random Commen with Id 174
175,38,0,61,9,Some Random Commen with Id 175
176,38,0,6,2,Some Random Commen with Id 176
177,38,0,99,6,Some Random Commen with Id 177
178,39,4,36,2,Some Random Commen with Id 178
